"SUID","BH","name","selected","shared name","uidA","uidB"
"1067","0.00450255102040816","KIAA1549","false","KIAA1549","Q9HCM3","Q9HCM3"
"1068","0.552820512820513","PLXNA1","false","PLXNA1","","Q9UIW2"
"1069","1.0","GNAI3","false","GNAI3","P08754","P08754"
"1070","0.918423855165069","RGS20","false","RGS20","O76081",""
"1071","0.00450255102040816","SOS1","false","SOS1","Q07889","Q07889"
"1072","0.00450255102040816","TLN1","false","TLN1","Q9Y490","Q9Y490"
"1073","0.607940446650124","BANP","false","BANP","A0A0S2Z5C2","Q8N9N5"
"1074","0.00450255102040816","LGALS4","false","LGALS4","P56470",""
"1075","0.00450255102040816","CCDC13","false","CCDC13","","Q8IYE1"
"1076","0.00450255102040816","CAD","false","CAD","P27708","P27708"
"1077","1.0","RAD9A","false","RAD9A","Q99638",""
"1078","0.0464454976303318","SMARCA1","false","SMARCA1","P28370","P28370"
"1079","0.303875968992248","BAZ1B","false","BAZ1B","Q9UIG0",""
"1080","0.00450255102040816","ENKD1","false","ENKD1","Q9H0I2","Q9H0I2"
"1081","0.258745874587459","CDR2","false","CDR2","Q01850","Q01850"
"1082","0.812094064949608","HK1","false","HK1","A0A024QZK7","P19367"
"1083","0.387023977433004","KNOP1","false","KNOP1","Q1ED39","Q1ED39"
"1084","0.701670644391408","DHX38","false","DHX38","","Q92620"
"1085","0.118787878787879","PPP4C","false","PPP4C","A0A024R625","A0A024R625"
"1086","0.0854030501089325","MACF1","false","MACF1","Q9UPN3","Q9UPN3"
"1087","0.00450255102040816","DSG2","false","DSG2","Q14126","Q14126"
"1088","0.00450255102040816","DVL3","false","DVL3","","Q92997"
"1089","0.00450255102040816","CLK1","false","CLK1","P49759","P49759"
"1090","0.00450255102040816","FAM161A","false","FAM161A","Q3B820","Q3B820"
"1091","0.387023977433004","KIF15","false","KIF15","Q9NS87","Q9NS87"
"1092","0.303875968992248","KIF26A","false","KIF26A","Q9ULI4","Q9ULI4"
"1093","0.00450255102040816","KIF11","false","KIF11","P52732","P52732"
"1094","0.531782945736434","MAGEE1","false","MAGEE1","Q9HCI5","Q9HCI5"
"1095","0.00450255102040816","CSNK2A1","false","CSNK2A1","P68400","P68400"
"1096","0.00450255102040816","RXRA","false","RXRA","F1D8Q5","F1D8Q5"
"1097","0.00450255102040816","NCOA3","false","NCOA3","Q9Y6Q9","Q9Y6Q9"
"1098","0.00450255102040816","BCL9L","false","BCL9L","Q86UU0","Q86UU0"
"1099","1.0","MCM6","false","MCM6","Q14566","Q14566"
"1100","0.512418300653595","IL2RB","false","IL2RB","P14784","P14784"
"1101","0.209625668449198","LRRK1","false","LRRK1","Q38SD2","Q38SD2"
"1102","0.303875968992248","FLT4","false","FLT4","P35916","P35916"
"1103","0.387023977433004","UGT1A6","false","UGT1A6","P19224","P19224"
"1104","0.812094064949608","ITGA4","false","ITGA4","P13612","P13612"
"1105","0.118787878787879","ABCE1","false","ABCE1","P61221",""
"1106","0.569191919191919","WDR90","false","WDR90","","Q96KV7"
"1107","0.0464454976303318","CLUH","false","CLUH","O75153","O75153"
"1108","0.00450255102040816","SMURF2","false","SMURF2","Q9HAU4","Q9HAU4"
"1109","1.0","STAG2","false","STAG2","Q8N3U4","Q8N3U4"
"1110","1.0","BUB1","false","BUB1","O43683","O43683"
"1111","0.00450255102040816","ACTG1","false","ACTG1","P63261","P63261"
"1112","0.23573883161512","CD86","false","CD86","P42081","P42081"
"1113","0.00450255102040816","HUWE1","false","HUWE1","A0A024R9W5","A0A024R9W5"
"1114","0.00450255102040816","TP63","false","TP63","A0A0S2Z4N5","Q9H3D4"
"1115","0.569191919191919","TOB2","false","TOB2","","Q14106"
"1116","0.00450255102040816","MTOR","false","MTOR","P42345","P42345"
"1117","0.00450255102040816","ITSN1","false","ITSN1","Q15811","Q15811"
"1118","0.118787878787879","MYO9B","false","MYO9B","B0I1T6","B0I1T6"
"1119","0.967901234567901","PSMC4","false","PSMC4","A8K2M0","A8K2M0"
"1120","1.0","CDC27","false","CDC27","P30260","P30260"
"1121","0.00450255102040816","UBTF","false","UBTF","P17480","P17480"
"1122","0.0464454976303318","CD3EAP","false","CD3EAP","O15446",""
"1123","0.00450255102040816","COL4A2","false","COL4A2","A0A024RDW8","A0A024RDW8"
"1124","0.00450255102040816","MMP9","false","MMP9","P14780","P14780"
"1125","0.00450255102040816","CTNNA1","false","CTNNA1","P35221","P35221"
"1126","0.209625668449198","OSBP","false","OSBP","P22059","P22059"
"1127","0.979001019367992","MED20","false","MED20","Q9H944","Q9H944"
"1128","0.00450255102040816","GLYR1","false","GLYR1","Q49A26","Q49A26"
